FLIGHT_ID,WEATHER_CONDITION,AIRFRAME_HOURS,PAYLOAD_WEIGHT,AIRCRAFT_TYPE,TAKE OFF_OUTCOME
1,1,45,24,PASSENGER,FAILURE
2,0,20,75,PASSENGER,SUCCESS
3,0,28,70,PASSENGER,SUCCESS
4,0,66,28,PASSENGER,FAILURE
5,1,22,39,PASSENGER,SUCCESS
6,0,19,50,PASSENGER,SUCCESS
7,1,37,74,PASSENGER,SUCCESS
8,1,57,22,CARGO,FAILURE
9,1,39,58,PASSENGER,SUCCESS
10,0,21,50,PASSENGER,SUCCESS
11,0,32,34,PASSENGER,SUCCESS
12,1,43,6,CARGO,FAILURE
13,1,43,20,PASSENGER,FAILURE
14,0,43,75,PASSENGER,SUCCESS
15,0,32,6,CARGO,FAILURE
16,1,30,73,PASSENGER,SUCCESS
17,1,69,10,CARGO,FAILURE
18,0,33,38,PASSENGER,FAILURE
19,0,36,41,PASSENGER,SUCCESS
20,1,44,47,PASSENGER,SUCCESS
21,1,30,77,PASSENGER,SUCCESS
22,0,46,20,CARGO,FAILURE
23,0,42,19,CARGO,FAILURE
24,1,33,30,CARGO,FAILURE
25,1,19,35,PASSENGER,SUCCESS
26,0,22,80,PASSENGER,SUCCESS
27,0,37,52,PASSENGER,SUCCESS
28,1,35,19,CARGO,FAILURE
29,0,59,37,PASSENGER,FAILURE
30,1,25,33,PASSENGER,SUCCESS
31,1,40,77,PASSENGER,SUCCESS
32,1,33,22,CARGO,FAILURE
33,0,58,12,PASSENGER,FAILURE
34,1,47,9,CARGO,FAILURE
35,0,29,35,PASSENGER,SUCCESS
36,0,49,16,PASSENGER,FAILURE
37,0,41,55,CARGO,SUCCESS
38,1,31,48,PASSENGER,SUCCESS
39,0,34,24,CARGO,FAILURE
40,1,35,20,CARGO,FAILURE
41,1,24,59,PASSENGER,SUCCESS
42,1,33,49,PASSENGER,SUCCESS
43,0,23,50,PASSENGER,SUCCESS
44,0,38,29,PASSENGER,FAILURE
45,0,40,7,CARGO,FAILURE
46,0,47,21,CARGO,FAILURE
47,0,22,64,CARGO,SUCCESS
48,1,35,79,PASSENGER,SUCCESS
49,1,43,74,PASSENGER,SUCCESS
50,1,67,27,PASSENGER,FAILURE
51,0,38,16,PASSENGER,FAILURE
52,0,19,30,PASSENGER,SUCCESS
53,1,22,66,PASSENGER,SUCCESS
54,1,20,71,PASSENGER,SUCCESS
55,1,63,9,CARGO,FAILURE
56,1,38,91,PASSENGER,SUCCESS
57,0,55,7,CARGO,FAILURE
58,1,55,6,CARGO,FAILURE
59,0,42,10,CARGO,FAILURE
60,1,67,31,CARGO,FAILURE
61,1,20,94,PASSENGER,FAILURE
62,0,54,12,CARGO,SUCCESS
63,1,25,34,PASSENGER,FAILURE
64,0,52,28,PASSENGER,SUCCESS
65,1,41,35,PASSENGER,FAILURE
66,0,20,52,PASSENGER,FAILURE
67,1,63,17,PASSENGER,SUCCESS
68,1,40,97,PASSENGER,SUCCESS
69,0,49,32,PASSENGER,SUCCESS
70,1,66,34,CARGO,FAILURE
71,0,47,31,PASSENGER,FAILURE
72,0,37,46,PASSENGER,FAILURE
73,1,45,35,CARGO,SUCCESS
74,1,46,35,PASSENGER,SUCCESS
75,0,44,22,CARGO,FAILURE
76,0,22,79,PASSENGER,SUCCESS
77,1,31,63,PASSENGER,SUCCESS
78,0,65,13,PASSENGER,FAILURE
79,0,35,83,PASSENGER,SUCCESS
80,1,35,62,PASSENGER,SUCCESS
81,1,39,60,CARGO,SUCCESS
82,0,65,38,PASSENGER,FAILURE
83,1,44,9,PASSENGER,FAILURE
84,0,65,23,CARGO,FAILURE
85,1,42,46,PASSENGER,SUCCESS
86,1,44,73,CARGO,SUCCESS
87,1,56,40,PASSENGER,SUCCESS
88,0,27,56,PASSENGER,SUCCESS
89,0,59,18,CARGO,SUCCESS
90,1,28,67,PASSENGER,SUCCESS
91,1,52,38,CARGO,SUCCESS
92,0,44,18,PASSENGER,SUCCESS
93,1,66,5,PASSENGER,SUCCESS
94,0,42,44,PASSENGER,SUCCESS
95,0,40,94,PASSENGER,SUCCESS
96,1,43,83,PASSENGER,SUCCESS
97,1,36,33,CARGO,SUCCESS
98,0,35,6,PASSENGER,SUCCESS
99,1,57,16,PASSENGER,FAILURE
100,0,21,57,PASSENGER,SUCCESS
101,1,36,72,PASSENGER,SUCCESS
102,1,39,37,PASSENGER,FAILURE
103,0,66,38,CARGO,FAILURE
104,1,33,53,PASSENGER,SUCCESS
105,1,19,96,CARGO,SUCCESS
106,1,35,22,CARGO,FAILURE
107,1,53,21,CARGO,FAILURE
108,1,42,11,CARGO,FAILURE
109,0,62,38,CARGO,FAILURE
110,1,25,86,CARGO,SUCCESS
111,1,42,21,PASSENGER,FAILURE
112,1,51,29,PASSENGER,FAILURE
113,1,50,22,CARGO,FAILURE
114,0,44,26,CARGO,FAILURE
115,1,31,97,PASSENGER,SUCCESS
116,0,43,91,PASSENGER,SUCCESS
117,1,41,71,PASSENGER,SUCCESS
118,1,65,23,CARGO,FAILURE
119,0,58,13,PASSENGER,FAILURE
120,1,23,50,PASSENGER,SUCCESS
121,0,31,11,PASSENGER,FAILURE
122,1,69,10,PASSENGER,FAILURE
123,0,48,12,PASSENGER,FAILURE
124,0,45,40,CARGO,FAILURE
125,0,18,70,PASSENGER,SUCCESS
126,1,58,25,CARGO,FAILURE
127,0,21,90,CARGO,SUCCESS
128,0,32,65,CARGO,SUCCESS
129,0,37,43,PASSENGER,SUCCESS
130,0,58,14,PASSENGER,FAILURE
131,1,40,91,PASSENGER,SUCCESS
132,0,59,38,CARGO,FAILURE
133,1,36,30,PASSENGER,SUCCESS
134,1,38,93,PASSENGER,SUCCESS
135,0,43,76,PASSENGER,SUCCESS
136,0,44,75,PASSENGER,FAILURE
137,1,36,64,CARGO,FAILURE
138,1,54,38,CARGO,SUCCESS
139,0,50,13,PASSENGER,FAILURE
140,1,21,95,CARGO,SUCCESS
141,1,55,29,CARGO,FAILURE
142,1,43,23,CARGO,FAILURE
143,0,50,24,CARGO,SUCCESS
144,0,42,22,CARGO,SUCCESS
145,0,28,54,PASSENGER,SUCCESS
146,0,39,53,PASSENGER,FAILURE
147,1,64,22,CARGO,FAILURE
148,0,65,35,CARGO,FAILURE
149,0,18,31,CARGO,SUCCESS
150,0,46,33,PASSENGER,SUCCESS
151,0,20,35,PASSENGER,SUCCESS
152,0,50,15,CARGO,FAILURE
153,1,62,14,CARGO,FAILURE
154,1,69,21,PASSENGER,FAILURE
155,0,19,100,PASSENGER,SUCCESS
156,0,34,33,CARGO,FAILURE
157,0,44,12,PASSENGER,FAILURE
158,1,38,62,CARGO,SUCCESS
159,0,32,38,PASSENGER,SUCCESS
160,0,57,37,CARGO,FAILURE
161,1,35,16,CARGO,FAILURE
162,1,45,24,CARGO,FAILURE
163,0,68,5,PASSENGER,FAILURE
164,0,59,18,CARGO,FAILURE
165,0,34,29,CARGO,FAILURE
166,0,46,27,CARGO,FAILURE
167,1,41,27,CARGO,FAILURE
168,0,43,95,PASSENGER,SUCCESS
169,1,64,6,CARGO,FAILURE
170,1,37,69,PASSENGER,SUCCESS
171,1,32,34,PASSENGER,FAILURE
172,1,32,75,CARGO,SUCCESS
173,1,52,13,CARGO,FAILURE
174,0,23,92,PASSENGER,SUCCESS
175,1,69,39,PASSENGER,FAILURE
176,1,24,39,PASSENGER,SUCCESS
177,1,56,6,PASSENGER,FAILURE
178,1,39,9,PASSENGER,FAILURE
179,0,60,30,PASSENGER,FAILURE
180,0,24,54,PASSENGER,SUCCESS
181,1,35,61,PASSENGER,SUCCESS
182,1,46,9,CARGO,FAILURE
183,1,38,31,CARGO,FAILURE
184,0,19,33,PASSENGER,SUCCESS
185,1,40,81,PASSENGER,SUCCESS
186,1,39,9,CARGO,FAILURE
187,1,66,10,PASSENGER,FAILURE
188,0,32,65,PASSENGER,SUCCESS
189,1,27,80,PASSENGER,SUCCESS
190,0,45,11,PASSENGER,FAILURE
191,1,19,84,PASSENGER,SUCCESS
192,1,58,11,PASSENGER,FAILURE
193,1,18,47,PASSENGER,FAILURE
194,0,39,37,PASSENGER,FAILURE
195,1,67,35,PASSENGER,SUCCESS
196,0,64,31,CARGO,FAILURE
197,1,55,5,CARGO,SUCCESS
198,1,50,37,CARGO,FAILURE
199,1,67,40,CARGO,FAILURE
200,1,33,62,PASSENGER,SUCCESS
201,1,55,7,CARGO,SUCCESS
202,1,41,37,PASSENGER,SUCCESS
203,1,37,27,PASSENGER,FAILURE
