RHO,W,V,RC
1.007,50000,30,1
0.525,50000,40,1
1.112,50000,30,1
0.413,50000,50,1
1.225,50000,30,1
0.819,50000,30,1
0.413,50000,40,1
0.819,50000,40,1
0.525,50000,50,1
0.413,50000,60,1
1.007,50000,40,1
1.225,60000,30,1
1.225,50000,20,1
0.413,60000,50,1
1.112,60000,30,1
0.819,60000,40,1
0.525,60000,50,1
1.007,60000,30,1
0.525,50000,30,1
1.112,50000,40,1
0.525,60000,40,1
0.413,60000,60,1
1.112,50000,20,1
0.525,50000,60,1
1.007,60000,40,1
0.819,60000,30,1
1.225,50000,40,1
0.413,50000,70,1
0.819,50000,30,1
1.112,60000,40,1
0.819,50000,50,1
0.525,50000,40,1
1.007,50000,20,1
0.413,60000,40,1
0.413,50000,40,1
1.007,50000,30,1
0.525,60000,60,1
1.112,50000,30,1
1.112,50000,40,1
0.525,50000,60,1
1.007,50000,40,1
1.225,50000,40,1
0.819,70000,40,1
0.413,50000,50,1
0.525,70000,50,1
0.413,50000,70,1
0.819,50000,50,1
1.225,60000,40,1
0.413,50000,60,1
1.225,70000,30,1
0.413,70000,60,1
1.225,50000,30,1
0.413,70000,50,1
0.413,50000,30,1
0.413,60000,70,1
1.007,70000,40,1
0.819,60000,50,1
1.112,70000,30,1
0.525,50000,50,1
0.819,50000,40,1
1.112,70000,40,1
1.225,50000,20,1
1.007,50000,50,1
1.007,70000,30,1
0.525,50000,70,1
0.525,50000,30,1
0.525,70000,60,1
0.413,50000,80,1
0.525,70000,40,1
1.225,70000,40,1
0.819,50000,40,1
0.525,50000,50,1
1.112,50000,50,1
1.225,50000,30,1
1.112,50000,20,1
0.413,70000,70,1
0.819,70000,50,1
1.007,50000,50,1
0.819,50000,20,1
0.819,50000,60,1
0.525,50000,70,1
0.413,50000,50,1
0.413,80000,60,1
1.007,80000,40,1
0.525,80000,50,1
0.819,80000,40,1
1.007,60000,30,1
1.225,60000,20,1
1.225,50000,50,1
1.112,60000,30,1
0.525,60000,40,1
0.819,70000,30,1
1.112,50000,30,1
0.413,50000,80,1
0.413,60000,50,1
1.112,80000,40,1
1.007,50000,20,1
1.225,60000,30,1
1.007,60000,50,1
0.413,50000,60,1
0.525,60000,30,1
0.819,60000,30,1
0.525,80000,60,1
0.525,60000,70,1
1.225,80000,30,1
1.225,80000,40,1
0.819,60000,50,1
0.413,60000,70,1
1.225,60000,40,1
0.525,60000,60,1
0.413,80000,70,1
1.112,50000,50,1
0.413,50000,90,1
0.819,80000,50,1
0.525,50000,80,1
1.112,60000,40,1
0.413,60000,80,1
1.007,60000,50,1
0.413,80000,50,1
0.413,60000,40,1
0.525,60000,70,1
1.007,50000,30,1
1.225,50000,20,1
0.819,60000,40,1
