rho,V,W,CL,TR,PR,RC
1.225,10,50000,17.3686,48974.64,489746.39,6.3243
1.225,20,50000,4.3422,12589.11,251782.19,27.2028
1.225,30,50000,1.9298,6260.47,187814.13,44.6013
1.225,40,50000,1.0855,4529.08,181163.1,60.8535
1.225,50,50000,0.6947,4258.3,212915.04,76.3377
1.225,60,50000,0.4825,4674.17,280450.06,91.1062
1.225,70,50000,0.3545,5511.48,385803.77,105.1183
1.225,80,50000,0.2714,6659.47,532757.55,118.2984
1.225,90,50000,0.2144,8065.21,725868.71,130.5554
1.225,100,50000,0.1737,9700.83,970082.52,141.7903
1.225,110,50000,0.1435,11550.51,1270555.85,151.9001
1.225,120,50000,0.1206,13604.74,1632569.03,160.779
1.225,130,50000,0.1028,15857.53,2061478.34,168.32
1.225,140,50000,0.0886,18304.92,2562688.88,174.415
1.225,150,50000,0.0772,20944.26,3141638.35,178.9552
1.225,160,50000,0.0678,23773.67,3803786.77,181.8315
1.225,170,50000,0.0601,26791.82,4554610.02,182.9342
1.225,180,50000,0.0536,29997.75,5399595.35,182.1537
1.225,190,50000,0.0481,33390.73,6344238.44,179.38
1.225,200,50000,0.0434,36970.21,7394041.26,174.5032
1.225,210,50000,0.0394,40735.76,8554510.59,167.413
1.225,220,50000,0.0359,44687.08,9831156.93,157.9993
1.225,230,50000,0.0328,48823.89,11229493.67,146.1517
1.225,240,50000,0.0302,53145.99,12755036.52,131.7601
1.225,250,50000,0.0278,57653.21,14413303.01,114.7139
1.225,260,50000,0.0257,62345.43,16209812.17,94.903
1.225,270,50000,0.0238,67222.53,18150084.24,72.2167
1.225,280,50000,0.0222,72284.43,20239640.44,46.5448
1.225,290,50000,0.0207,77531.04,22484002.84,17.7767
1.225,300,50000,0.0193,82962.31,24888694.17,-14.1979
1.225,310,50000,0.0181,88578.19,27459237.75,-49.4896
1.225,320,50000,0.017,94378.62,30201157.39,-88.2087
1.225,330,50000,0.0159,100363.57,33119977.28,-130.4659
1.225,340,50000,0.015,106533.01,36221222.01,-176.3716
1.225,350,50000,0.0142,112886.9,39510416.43,-226.0363
1.225,360,50000,0.0134,119425.24,42993085.68,-279.5705
1.225,370,50000,0.0127,126147.99,46674755.09,-337.0847
1.225,380,50000,0.012,133055.13,50560950.22,-398.6894
1.225,390,50000,0.0114,140146.66,54657196.78,-464.4951
1.225,10,60000,20.8424,70482.95,704829.47,1.6855
1.225,20,60000,5.2106,17966.19,359323.74,20.8766
1.225,30,60000,2.3158,8650.28,259508.49,35.9729
1.225,40,60000,1.3026,5873.35,234933.87,49.8151
1.225,50,60000,0.8337,5118.63,255931.65,62.8978
1.225,60,60000,0.579,5271.62,316297.25,75.3244
1.225,70,60000,0.4254,5950.43,416529.92,87.0865
1.225,80,60000,0.3257,6995.54,559642.93,98.134
1.225,90,60000,0.2573,8330.74,749766.83,108.3979
1.225,100,60000,0.2084,9915.91,991590.83,117.8002
1.225,110,60000,0.1723,11728.26,1290108.86,126.2575
1.225,120,60000,0.1447,13754.11,1650492.62,133.6838
1.225,130,60000,0.1233,15984.79,2078023.19,139.9909
1.225,140,60000,0.1063,18414.66,2578051.96,145.0898
1.225,150,60000,0.0926,21039.85,3155977.22,148.8904
1.225,160,60000,0.0814,23857.68,3817229.47,151.3022
1.225,170,60000,0.0721,26866.25,4567261.97,152.2343
1.225,180,60000,0.0643,30064.14,5411544.42,151.5956
1.225,190,60000,0.0577,33450.31,6355558.6,149.2947
1.225,200,60000,0.0521,37023.98,7404795.41,145.2401
1.225,210,60000,0.0473,40784.54,8564752.64,139.3401
1.225,220,60000,0.0431,44731.52,9840933.43,131.5031
1.225,230,60000,0.0394,48864.54,11238845.11,121.6372
1.225,240,60000,0.0362,53183.33,12763998.31,109.6507
1.225,250,60000,0.0333,57687.63,14421906.33,95.4516
1.225,260,60000,0.0308,62377.25,16218084.6,78.9479
1.225,270,60000,0.0286,67252.04,18158050.28,60.0478
1.225,280,60000,0.0266,72311.86,20247321.98,38.6593
1.225,290,60000,0.0248,77556.62,22491419.5,14.6903
1.225,300,60000,0.0232,82986.21,24895863.61,-11.9511
1.225,310,60000,0.0217,88600.57,27466175.92,-41.3569
1.225,320,60000,0.0204,94399.62,30207878.73,-73.6193
1.225,330,60000,0.0191,100383.32,33126494.95,-108.8302
1.225,340,60000,0.018,106551.61,36227547.98,-147.0818
1.225,350,60000,0.017,112904.46,39516561.66,-188.466
1.225,360,60000,0.0161,119441.83,42999060.21,-233.075
1.225,370,60000,0.0152,126163.7,46680568.15,-281.0008
1.225,380,60000,0.0144,133070.03,50566610.3,-332.3355
1.225,390,60000,0.0137,140160.8,54662711.73,-387.1712
1.225,10,70000,24.3161,95901.86,959018.57,-2.1866
1.225,20,70000,6.079,24320.91,486418.28,16.0786
1.225,30,70000,2.7018,11474.61,344238.19,29.6235
1.225,40,70000,1.5198,7462.03,298481.14,41.7908
1.225,50,70000,0.9726,6135.39,306769.47,53.1862
1.225,60,70000,0.6754,5977.7,358662.09,63.9585
1.225,70,70000,0.4962,6469.18,452842.65,74.1268
1.225,80,70000,0.3799,7392.71,591416.57,83.6609
1.225,90,70000,0.3002,8644.56,778010.06,92.509
1.225,100,70000,0.2432,10170.1,1017009.74,100.6084
1.225,110,70000,0.201,11938.34,1313216.96,107.8906
1.225,120,70000,0.1689,13930.63,1671675.05,114.2835
1.225,130,70000,0.1439,16135.2,2097576.2,119.7129
1.225,140,70000,0.1241,18544.35,2596208.33,124.1033
1.225,150,70000,0.1081,21152.82,3172923.16,127.3782
1.225,160,70000,0.095,23956.98,3833116.29,129.4606
1.225,170,70000,0.0841,26954.2,4582214.27,130.2729
1.225,180,70000,0.075,30142.59,5425666.03,129.7373
1.225,190,70000,0.0674,33520.72,6368936.98,127.7758
1.225,200,70000,0.0608,37087.52,7417504.87,124.3099
1.225,210,70000,0.0551,40842.18,8576856.88,119.2615
1.225,220,70000,0.0502,44784.03,9852487.48,112.5519
1.225,230,70000,0.046,48912.59,11249896.81,104.1026
1.225,240,70000,0.0422,53227.46,12774589.52,93.835
1.225,250,70000,0.0389,57728.3,14432073.89,81.6704
1.225,260,70000,0.036,62414.85,16227861.1,67.53
1.225,270,70000,0.0334,67286.91,18167464.69,51.3351
1.225,280,70000,0.031,72344.29,20256400.16,33.0069
1.225,290,70000,0.0289,77586.84,22500184.64,12.4665
1.225,300,70000,0.027,83014.46,24904336.58,-10.3648
1.225,310,70000,0.0253,88627.02,27474375.57,-35.5659
1.225,320,70000,0.0237,94424.44,30215822.14,-63.2157
1.225,330,70000,0.0223,100406.66,33134197.65,-93.3931
1.225,340,70000,0.021,106573.6,36235024.13,-126.1769
1.225,350,70000,0.0198,112925.21,39523824.21,-161.6461
1.225,360,70000,0.0188,119461.45,43006121.02,-199.8794
1.225,370,70000,0.0178,126182.27,46687438.12,-240.956
1.225,380,70000,0.0168,133087.63,50573299.49,-284.9546
1.225,390,70000,0.016,140177.51,54669229.4,-331.9541
1.225,10,80000,27.7898,125231.37,1252313.68,-5.5794
1.225,20,80000,6.9475,31653.29,633065.84,12.2357
1.225,30,80000,3.0878,14733.44,442003.23,24.6985
1.225,40,80000,1.7369,9295.12,371804.92,35.6504
1.225,50,80000,1.1116,7308.57,365428.5,45.8046
1.225,60,80000,0.7719,6792.41,407544.61,55.3527
1.225,70,80000,0.5671,7067.74,494741.95,64.3372
1.225,80,80000,0.4342,7850.98,628078.46,72.745
1.225,90,80000,0.3431,9006.65,810598.41,80.538
1.225,100,80000,0.2779,10463.39,1046339.25,87.6658
1.225,110,80000,0.2297,12180.73,1339880.15,94.071
1.225,120,80000,0.193,14134.3,1696116.31,99.6925
1.225,130,80000,0.1644,16308.75,2120137.36,104.4668
1.225,140,80000,0.1418,18693.99,2617157.98,108.3285
1.225,150,80000,0.1235,21283.17,3192476.17,111.2115
1.225,160,80000,0.1086,24071.55,3851447.23,113.0489
