rho,V,TR
1.225,30,14733.44
1.225,35.5,11085.62
1.225,41,8987.01
1.225,46.5,7774.33
1.225,52,7115.51
1.225,57.6,6829.35
1.225,63.1,6810.15
1.225,68.6,6992.9
1.225,74.1,7335.82
1.225,79.6,7811.08
1.225,85.1,8399.54
1.225,90.6,9087.71
1.225,96.1,9865.84
1.225,101.6,10726.77
1.225,107.1,11665.1
1.225,112.7,12676.75
1.225,118.2,13758.56
1.225,123.7,14908.04
1.225,129.2,16123.23
1.225,134.7,17402.58
1.225,140.2,18744.81
1.225,145.7,20148.89
1.225,151.2,21613.99
1.225,156.7,23139.39
1.225,162.2,24724.51
1.225,167.8,26368.88
1.225,173.3,28072.06
1.225,178.8,29833.72
1.225,184.3,31653.56
1.225,189.8,33531.31
1.225,195.3,35466.76
1.225,200.8,37459.72
1.225,206.3,39510.03
1.225,211.8,41617.53
1.225,217.3,43782.11
1.225,222.9,46003.65
1.225,228.4,48282.05
1.225,233.9,50617.23
1.225,239.4,53009.11
1.225,244.9,55457.63
1.225,250.4,57962.72
1.225,255.9,60524.34
1.225,261.4,63142.42
1.225,266.9,65816.93
1.225,272.4,68547.83
1.225,278,71335.09
1.225,283.5,74178.66
1.225,289,77078.53
1.225,294.5,80034.67
1.225,300,83047.04
0.736,30,23640.57
0.736,35.5,17215.46
0.736,41,13309.35
0.736,46.5,10818.3
0.736,52,9189.6
0.736,57.6,8121.65
0.736,63.1,7438.54
0.736,68.6,7032.06
0.736,74.1,6832.67
0.736,79.6,6794.04
0.736,85.1,6884.33
0.736,90.6,7081.08
0.736,96.1,7368.07
0.736,101.6,7733.36
0.736,107.1,8168
0.736,112.7,8665.17
0.736,118.2,9219.6
0.736,123.7,9827.18
0.736,129.2,10484.64
0.736,134.7,11189.37
0.736,140.2,11939.27
0.736,145.7,12732.63
0.736,151.2,13568.03
0.736,156.7,14444.32
0.736,162.2,15360.51
0.736,167.8,16315.8
0.736,173.3,17309.5
0.736,178.8,18341.03
0.736,184.3,19409.88
0.736,189.8,20515.64
0.736,195.3,21657.94
0.736,200.8,22836.45
0.736,206.3,24050.92
0.736,211.8,25301.09
0.736,217.3,26586.75
0.736,222.9,27907.73
0.736,228.4,29263.85
0.736,233.9,30654.98
0.736,239.4,32080.99
0.736,244.9,33541.77
0.736,250.4,35037.21
0.736,255.9,36567.23
0.736,261.4,38131.74
0.736,266.9,39730.67
0.736,272.4,41363.96
0.736,278,43031.55
0.736,283.5,44733.39
0.736,289,46469.42
0.736,294.5,48239.6
0.736,300,50043.9
1.225,30,23898.77
1.225,35.5,17627.22
1.225,41,13889.2
1.225,46.5,11584.23
1.225,52,10161.32
1.225,57.6,9319.84
1.225,63.1,8884.42
1.225,68.6,8747.2
1.225,74.1,8838.86
1.225,79.6,9113.21
1.225,85.1,9538.51
1.225,90.6,10092.36
1.225,96.1,10758.61
1.225,101.6,11525.36
1.225,107.1,12383.66
1.225,112.7,13326.74
1.225,118.2,14349.34
1.225,123.7,15447.34
1.225,129.2,16617.51
1.225,134.7,17857.24
1.225,140.2,19164.44
1.225,145.7,20537.39
1.225,151.2,21974.69
1.225,156.7,23475.17
1.225,162.2,25037.88
1.225,167.8,26661.99
1.225,173.3,28346.83
1.225,178.8,30091.81
1.225,184.3,31896.45
1.225,189.8,33760.3
1.225,195.3,35683.01
1.225,200.8,37664.27
1.225,206.3,39703.8
1.225,211.8,41801.35
1.225,217.3,43956.72
1.225,222.9,46169.73
1.225,228.4,48440.22
1.225,233.9,50768.03
1.225,239.4,53153.06
1.225,244.9,55595.17
1.225,250.4,58094.27
1.225,255.9,60650.28
1.225,261.4,63263.11
1.225,266.9,65932.69
1.225,272.4,68658.96
1.225,278,71441.85
1.225,283.5,74281.32
1.225,289,77177.31
1.225,294.5,80129.78
1.225,300,83138.7
0.736,30,38895.37
0.736,35.5,28103.32
0.736,41,21468.58
0.736,46.5,17159.5
0.736,52,14259.05
0.736,57.6,12266.82
0.736,63.1,10890.96
0.736,68.6,9951.92
0.736,74.1,9334.33
0.736,79.6,8961.3
0.736,85.1,8780.03
0.736,90.6,8753.23
0.736,96.1,8854
0.736,101.6,9062.54
0.736,107.1,9363.98
0.736,112.7,9747.01
0.736,118.2,10202.9
0.736,123.7,10724.81
0.736,129.2,11307.32
0.736,134.7,11946.12
0.736,140.2,12637.71
0.736,145.7,13379.24
0.736,151.2,14168.38
0.736,156.7,15003.2
0.736,162.2,15882.07
0.736,167.8,16803.66
0.736,173.3,17766.83
0.736,178.8,18770.59
0.736,184.3,19814.14
0.736,189.8,20896.77
0.736,195.3,22017.87
0.736,200.8,23176.9
0.736,206.3,24373.42
0.736,211.8,25607.03
0.736,217.3,26877.38
0.736,222.9,28184.16
0.736,228.4,29527.11
0.736,233.9,30905.98
0.736,239.4,32320.57
0.736,244.9,33770.69
0.736,250.4,35256.16
0.736,255.9,36776.85
0.736,261.4,38332.62
0.736,266.9,39923.35
0.736,272.4,41548.92
0.736,278,43209.25
0.736,283.5,44904.24
0.736,289,46633.82
0.736,294.5,48397.91
0.736,300,50196.45

