rho,W,V,S,b,AR,Cd0,e,CL,CD,CL/CD,TR,PR,TA,PA,RC
1.007,50000,30,47,54,62.04255319,0.032,0.87,2.347632765,0.064517845,36.38733982,1374.104297,41223.12891,66253.20163,1987596.049,38.9274584
0.525,50000,40,47,54,62.04255319,0.032,0.87,2.532928065,0.069853597,36.2605247,1378.909997,55156.39988,34541.14286,1381645.714,26.52978629
1.112,50000,30,47,54,62.04255319,0.032,0.87,2.125958807,0.058666814,36.23784334,1379.77306,41393.19181,73161.4302,2194842.906,43.06899429
0.413,50000,50,47,54,62.04255319,0.032,0.87,2.060687239,0.057054492,36.11787903,1384.35593,69217.79648,27172.36571,1358618.286,25.78800978
1.225,50000,30,47,54,62.04255319,0.032,0.87,1.929849954,0.05397397,35.7551975,1398.398093,41951.94279,80596,2417880,47.51856114
0.819,50000,30,47,54,62.04255319,0.032,0.87,2.886527709,0.081160116,35.5658401,1405.843356,42175.30068,53884.18286,1616525.486,31.4870037
0.413,50000,40,47,54,62.04255319,0.032,0.87,3.219823811,0.093168193,34.55925995,1446.79024,57871.6096,27172.36571,1086894.629,20.58046038
0.819,50000,40,47,54,62.04255319,0.032,0.87,1.623671836,0.047554568,34.14334113,1464.414388,58576.57551,53884.18286,2155367.314,41.93581478
0.525,50000,50,47,54,62.04255319,0.032,0.87,1.621073961,0.047504833,34.12440069,1465.227198,73261.3599,34541.14286,1727057.143,33.07591566
0.413,50000,60,47,54,62.04255319,0.032,0.87,1.431032805,0.044082606,32.46252734,1540.23744,92414.2464,27172.36571,1630341.943,30.75855393
1.007,50000,40,47,54,62.04255319,0.032,0.87,1.32054343,0.04228885,31.22675233,1601.191167,64047.64668,66253.20163,2650128.065,51.72160837
1.225,60000,30,47,54,62.04255319,0.032,0.87,2.315819945,0.063642517,36.38793791,1648.898054,49466.94161,80596,2417880,39.47355097
1.225,50000,20,47,54,62.04255319,0.032,0.87,4.342162397,0.143243223,30.31321354,1649.445709,32988.91418,80596,1611920,31.57862172
0.413,60000,50,47,54,62.04255319,0.032,0.87,2.472824687,0.068078468,36.32315391,1651.838939,82591.94694,27172.36571,1358618.286,21.26710565
1.112,60000,30,47,54,62.04255319,0.032,0.87,2.551150569,0.070400212,36.23782516,1655.728503,49671.85508,73161.4302,2194842.906,35.75285085
0.819,60000,40,47,54,62.04255319,0.032,0.87,1.948406204,0.054398578,35.81722685,1675.171566,67006.86265,53884.18286,2155367.314,34.80600753
0.525,60000,50,47,54,62.04255319,0.032,0.87,1.945288754,0.05432696,35.80706085,1675.647165,83782.35826,34541.14286,1727057.143,27.38791308
1.007,60000,30,47,54,62.04255319,0.032,0.87,2.817159317,0.078825697,35.73909793,1678.833644,50365.00931,66253.20163,1987596.049,32.28718399
0.525,50000,30,47,54,62.04255319,0.032,0.87,4.502983226,0.151636058,29.69599233,1683.728883,50511.8665,34541.14286,1036234.286,19.71444838
1.112,50000,40,47,54,62.04255319,0.032,0.87,1.195851829,0.040437547,29.57280872,1690.742346,67629.69385,73161.4302,2926457.208,57.17655029
0.525,60000,40,47,54,62.04255319,0.032,0.87,3.039513678,0.086509179,35.13515802,1707.691196,68307.64782,34541.14286,1381645.714,21.88896777
0.413,60000,60,47,54,62.04255319,0.032,0.87,1.717239366,0.049398953,34.76266743,1725.98953,103559.3718,27172.36571,1630341.943,25.44637618
1.112,50000,20,47,54,62.04255319,0.032,0.87,4.783407317,0.167000745,28.64302984,1745.625385,34912.50771,73161.4302,1463228.604,28.56632193
0.525,50000,60,47,54,62.04255319,0.032,0.87,1.125745807,0.039477254,28.51631516,1753.382221,105202.9333,34541.14286,2072468.571,39.34531276
1.007,60000,40,47,54,62.04255319,0.032,0.87,1.584652116,0.046815943,33.8485568,1772.601424,70904.05698,66253.20163,2650128.065,42.98706681
0.819,60000,30,47,54,62.04255319,0.032,0.87,3.463833251,0.102790567,33.6979681,1780.522785,53415.68354,53884.18286,1616525.486,26.05183004
1.225,50000,40,47,54,62.04255319,0.032,0.87,1.085540599,0.038952701,27.86817242,1794.161427,71766.45709,80596,3223840,63.04147086
0.413,50000,70,47,54,62.04255319,0.032,0.87,1.05137104,0.03852189,27.29282091,1831.983589,128238.8512,27172.36571,1902065.6,35.47653498
0.819,50000,30,47,54,62.04255319,0.051,0.77,2.886527709,0.106544547,27.09221447,1845.548656,55366.45968,53884.18286,1616525.486,31.22318052
1.112,60000,40,47,54,62.04255319,0.032,0.87,1.435022195,0.044150067,32.50328462,1845.967283,73838.69131,73161.4302,2926457.208,47.54364195
0.819,50000,50,47,54,62.04255319,0.032,0.87,1.039149975,0.038371151,27.08154296,1846.275896,92313.79481,53884.18286,2694209.143,52.03790696
0.525,50000,40,47,54,62.04255319,0.051,0.77,2.532928065,0.093769648,27.01223814,1851.012854,74040.51414,34541.14286,1381645.714,26.152104
1.007,50000,20,47,54,62.04255319,0.032,0.87,5.28217372,0.196621592,26.86466761,1861.180668,37223.61336,66253.20163,1325064.033,25.75680839
0.413,60000,40,47,54,62.04255319,0.032,0.87,3.863788573,0.120082198,32.17619786,1864.732442,74589.29767,27172.36571,1086894.629,16.87175552
0.413,50000,40,47,54,62.04255319,0.051,0.77,3.219823811,0.120112115,26.80681982,1865.197004,74607.88015,27172.36571,1086894.629,20.24573497
1.007,50000,30,47,54,62.04255319,0.051,0.77,2.347632765,0.087740942,26.75641161,1868.710974,56061.32921,66253.20163,1987596.049,38.6306944
0.525,60000,60,47,54,62.04255319,0.032,0.87,1.350894968,0.042767245,31.58714011,1899.507198,113970.4319,34541.14286,2072468.571,32.64163566
1.112,50000,30,47,54,62.04255319,0.051,0.77,2.125958807,0.081130036,26.20433692,1908.081099,57242.43298,73161.4302,2194842.906,42.75200946
1.112,50000,40,34,33,32.02941176,0.032,0.87,1.653089293,0.063231638,26.14338873,1912.529417,76501.17667,73161.4302,2926457.208,56.99912063
0.525,50000,60,34,33,32.02941176,0.032,0.87,1.556178027,0.059677107,26.07663311,1917.425451,115045.5271,34541.14286,2072468.571,39.14846089
1.007,50000,40,34,33,32.02941176,0.032,0.87,1.825457094,0.070084249,26.0466099,1919.635614,76785.42456,66253.20163,2650128.065,51.46685281
1.225,50000,40,34,33,32.02941176,0.032,0.87,1.50060024,0.057735473,25.99095763,1923.74597,76949.83882,80596,3223840,62.93780322
0.819,70000,40,47,54,62.04255319,0.032,0.87,2.273140571,0.062486953,36.37784296,1924.248232,76969.92928,53884.18286,2155367.314,29.69139121
0.413,50000,50,47,54,62.04255319,0.051,0.77,2.060687239,0.079308322,25.98324091,1924.3173,96215.86502,27172.36571,1358618.286,25.24804841
0.525,70000,50,47,54,62.04255319,0.032,0.87,2.269503546,0.062389473,36.3763859,1924.325308,96216.2654,34541.14286,1727057.143,23.29772682
0.413,50000,70,34,33,32.02941176,0.032,0.87,1.45336585,0.056140821,25.88786233,1931.407057,135198.494,27172.36571,1902065.6,35.33734212
0.819,50000,50,34,33,32.02941176,0.032,0.87,1.436472025,0.05558286,25.84379451,1934.700416,96735.02081,53884.18286,2694209.143,51.94948244
